PhyRxTime,FrameID,FrameType,PacketIndex,TID,AccessCategory,IsAMPDU,AMPDURefNum
4.44424,36,P,17,0,AC BE,YES,213
4.44988,33,P,27,0,AC BE,YES,214
4.44988,35,B,1,0,AC BE,YES,214
4.44988,35,B,3,0,AC BE,YES,214
4.46732,30,P,17,0,AC BE,YES,215
4.46732,36,P,12,0,AC BE,YES,215
4.47295,33,P,13,0,AC BE,YES,216
4.47295,36,P,8,0,AC BE,YES,216
4.47295,36,P,11,0,AC BE,YES,216
4.47884,30,P,22,0,AC BE,YES,217
4.47884,36,P,3,0,AC BE,YES,217
4.47884,36,P,4,0,AC BE,YES,217
4.48443,36,P,14,0,AC BE,YES,218
4.48443,36,P,27,0,AC BE,YES,218
4.49012,30,P,5,0,AC BE,YES,219
4.49012,36,P,15,0,AC BE,YES,219
4.49012,36,P,28,0,AC BE,YES,219
4.4957,33,P,11,0,AC BE,YES,220
4.4957,36,P,0,0,AC BE,YES,220
4.50126,36,P,24,0,AC BE,YES,221
4.50126,36,P,29,0,AC BE,YES,221
4.5069,36,P,25,0,AC BE,YES,222
4.5069,38,B,0,0,AC BE,YES,222
4.51259,37,B,2,0,AC BE,YES,223
4.5201,36,P,21,0,AC BE,YES,224
4.5201,37,B,3,0,AC BE,YES,224
4.5201,39,P,6,0,AC BE,YES,224
4.52569,36,P,26,0,AC BE,YES,225
4.52569,39,P,3,0,AC BE,YES,225
4.53136,33,P,5,0,AC BE,YES,226
4.53136,37,B,1,0,AC BE,YES,226
4.53136,37,B,4,0,AC BE,YES,226
4.53136,38,B,4,0,AC BE,YES,226
4.53136,39,P,0,0,AC BE,YES,226
4.5427,36,P,2,0,AC BE,YES,227
4.5427,36,P,22,0,AC BE,YES,227
4.5427,39,P,8,0,AC BE,YES,227
4.55416,39,P,9,0,AC BE,YES,228
4.55416,39,P,11,0,AC BE,YES,228
4.55416,39,P,16,0,AC BE,YES,228
4.55971,39,P,18,0,AC BE,YES,229
4.56536,36,P,16,0,AC BE,YES,230
4.57678,39,P,5,0,AC BE,YES,231
4.58244,33,P,8,0,AC BE,YES,232
4.58244,36,P,5,0,AC BE,YES,232
4.58244,36,P,13,0,AC BE,YES,232
4.58813,39,P,20,0,AC BE,YES,233
4.59371,39,P,14,0,AC BE,YES,234
4.59926,40,B,1,0,AC BE,YES,235
4.61082,40,B,3,0,AC BE,YES,236
4.61082,41,B,1,0,AC BE,YES,236
4.6165,37,B,0,0,AC BE,YES,237
4.6165,38,B,3,0,AC BE,YES,237
4.6165,39,P,15,0,AC BE,YES,237
4.6165,41,B,2,0,AC BE,YES,237
4.62408,38,B,1,0,AC BE,YES,238
4.62408,40,B,4,0,AC BE,YES,238
4.62408,41,B,0,0,AC BE,YES,238
4.62408,41,B,4,0,AC BE,YES,238
4.62965,39,P,12,0,AC BE,YES,239
4.62965,42,P,8,0,AC BE,YES,239
4.63534,36,P,10,0,AC BE,YES,240
4.64101,38,B,2,0,AC BE,YES,241
4.64101,39,P,29,0,AC BE,YES,241
4.6466,39,P,1,0,AC BE,YES,242
4.6466,39,P,27,0,AC BE,YES,242
4.65826,41,B,3,0,AC BE,YES,243
4.65826,42,P,7,0,AC BE,YES,243
4.66387,42,P,3,0,AC BE,YES,244
4.66948,39,P,2,0,AC BE,YES,245
4.66948,42,P,12,0,AC BE,YES,245
4.67504,39,P,13,0,AC BE,YES,246
4.67504,39,P,28,0,AC BE,YES,246
4.67504,40,B,2,0,AC BE,YES,246
4.67504,42,P,4,0,AC BE,YES,246
4.6807,39,P,22,0,AC BE,YES,247
4.6807,39,P,23,0,AC BE,YES,247
4.6807,42,P,6,0,AC BE,YES,247
4.6807,42,P,20,0,AC BE,YES,247
4.6807,42,P,21,0,AC BE,YES,247
4.68639,42,P,2,0,AC BE,YES,248
4.69195,36,P,9,0,AC BE,YES,249
4.69195,42,P,1,0,AC BE,YES,249
4.71519,39,P,24,0,AC BE,YES,250
4.71519,42,P,13,0,AC BE,YES,250
4.71519,42,P,27,0,AC BE,YES,250
4.71519,44,B,4,0,AC BE,YES,250
4.72076,39,P,25,0,AC BE,YES,251
4.73421,42,P,11,0,AC BE,YES,252
4.73421,42,P,19,0,AC BE,YES,252
4.73421,43,B,1,0,AC BE,YES,252
4.74587,42,P,14,0,AC BE,YES,253
4.75152,39,P,4,0,AC BE,YES,254
4.75152,39,P,17,0,AC BE,YES,254
4.75152,42,P,22,0,AC BE,YES,254
4.75708,39,P,10,0,AC BE,YES,255
4.75708,42,P,15,0,AC BE,YES,255
4.75708,42,P,18,0,AC BE,YES,255
4.76272,42,P,24,0,AC BE,YES,256
4.76272,42,P,25,0,AC BE,YES,256
4.77419,42,P,26,0,AC BE,YES,257
4.77419,45,P,0,0,AC BE,YES,257
4.77419,45,P,14,0,AC BE,YES,257
4.77419,45,P,16,0,AC BE,YES,257
4.77977,42,P,28,0,AC BE,YES,258
4.77977,44,B,1,0,AC BE,YES,258
4.77977,45,P,18,0,AC BE,YES,258
4.7912,45,P,3,0,AC BE,YES,259
4.7912,45,P,15,0,AC BE,YES,259
4.7912,45,P,17,0,AC BE,YES,259
4.79681,39,P,21,0,AC BE,YES,260
4.79681,42,P,0,0,AC BE,YES,260
4.79681,42,P,16,0,AC BE,YES,260
4.79681,45,P,10,0,AC BE,YES,260
4.80242,45,P,12,0,AC BE,YES,261
4.80821,42,P,5,0,AC BE,YES,262
4.80821,43,B,2,0,AC BE,YES,262
4.80821,45,P,1,0,AC BE,YES,262
4.80821,45,P,8,0,AC BE,YES,262
4.80821,45,P,9,0,AC BE,YES,262
4.81389,42,P,23,0,AC BE,YES,263
4.81389,45,P,13,0,AC BE,YES,263
4.81389,46,B,1,0,AC BE,YES,263
4.81948,43,B,4,0,AC BE,YES,264
4.81948,47,B,4,0,AC BE,YES,264
4.82707,45,P,11,0,AC BE,YES,265
4.82707,45,P,19,0,AC BE,YES,265
4.83269,42,P,17,0,AC BE,YES,266
